time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-03T17:45:31.877Z,12.2071,-88.0005,37.33,4.4,mb,,184,1.073,1.19,us,us7000heq7,2022-06-03T21:01:14.040Z,"84 km SW of Jiquilillo, Nicaragua",earthquake,4.9,11.6,0.13,20,reviewed,us,us
2022-06-03T17:44:40.102Z,-19.4233,169.3749,208.75,4.9,mww,,71,3.649,0.8,us,us7000heq9,2022-06-03T18:03:13.040Z,"16 km NE of Isangel, Vanuatu",earthquake,7.1,6.2,0.098,10,reviewed,us,us
2022-06-03T17:32:02.200Z,36.251,-95.79933333,0,1.17,ml,42,121,0.340133254,0.65,ok,ok2022kuwr,2022-06-03T17:39:48.286Z,"5 km ESE of Owasso, Oklahoma",quarry blast,,0.9,0.25,18,reviewed,ok,ok
2022-06-03T17:04:22.245Z,62.976,-149.1438,77,1,ml,,,,0.25,ak,ak02272ywpyy,2022-06-03T17:08:58.476Z,"47 km SSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-06-03T16:55:24.070Z,34.85,-118.7965,-1.04,1.43,ml,13,85,0.07227,0.14,ci,ci40033303,2022-06-03T19:04:58.094Z,"6km E of Lebec, CA",quarry blast,0.32,31.61,0.063,2,reviewed,ci,ci
2022-06-03T16:52:08.483Z,59.8834,-151.8641,57.6,1.6,ml,,,,0.72,ak,ak02272yljm6,2022-06-03T16:55:28.535Z,"10 km SW of Happy Valley, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-06-03T16:46:50.620Z,38.8371658,-122.8093338,2.09,1.63,md,7,131,0.03115,0.02,nc,nc73740331,2022-06-03T17:19:15.037Z,"8km WNW of Cobb, CA",earthquake,0.29,0.8,0.09,9,automatic,nc,nc
2022-06-03T16:41:41.501Z,31.6094,-103.9534,7.89,3.3,ml,,60,0.249,0.39,us,us7000hept,2022-06-03T16:57:35.040Z,"35 km WSW of Mentone, Texas",earthquake,0.9,5,0.056,92,reviewed,us,us
2022-06-03T16:35:10.685Z,-7.5036,127.5211,167.62,4.9,mb,,51,3.773,0.53,us,us7000hepr,2022-06-03T19:57:24.040Z,"126 km NNE of Lospalos, Timor Leste",earthquake,6.8,7.5,0.093,41,reviewed,us,us
2022-06-03T16:15:37.020Z,34.4055,-120.1668333,5.58,2.15,ml,25,152,0.1286,0.23,ci,ci40033271,2022-06-03T21:04:18.765Z,"21km S of Solvang, CA",earthquake,0.35,31.61,0.187,14,reviewed,ci,ci
